,Unnamed: 0,name,location1,location2,location3,location4,location5,type,area,evenPrice,totalPrice,cal,sizetype
34,1,燕西华府,丰台,丰台其它,王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）,4室,60,49800,298,59.83935742971887,小户型
5,41,元熙华府,丰台,宋家庄,东南三环东铁营桥向南600米,,,2室,62,82000,508,61.951219512195124,小户型
1,58,北京书院,朝阳,惠新西街,北三环以北，惠新东街与北土城东路交汇处西行200米路北,,,1室,67,112000,750,66.96428571428571,小户型
11,45,京贸国际城·峰景,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,,,1室,69,72000,496,68.88888888888889,小户型
61,34,K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,,,2室,74,24500,181,73.87755102040816,小户型
15,33,合景寰汇公馆,通州,武夷花园,滨河中路和新华大街交汇处西南角，往南200米,,,2室,77,65000,500,76.92307692307692,小户型
8,56,首开住总熙悦安郡,朝阳,成寿寺,肖村东路1号院,,,3室,84,79500,667,83.8993710691824,小户型
46,44,招商都会湾,昌平,东关,内环西路招商都会中心,,,3室,88,43000,378,87.90697674418605,小户型
59,53,首开缇香郡,通州,通州其它,京津高速与张采路交叉口，京津高速于家务出口即到,,,3室,89,29000,258,88.96551724137932,小户型
52,39,首开香溪郡,通州,通州其它,宋庄镇荷香街2号院,,,3室,90,38000,342,90.0,小户型
20,42,京贸国际公馆,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,,,2室,92,63000,579,91.9047619047619,中户型
38,5,观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,,,3室,94,47500,446,93.89473684210526,中户型
48,18,天资华府,房山,长阳,房山区CSD政务大厅5号门,,,2室,94,41000,385,93.90243902439025,中户型
40,50,北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),,,3室,95,47000,446,94.8936170212766,中户型
45,19,北京怡园,昌平,东关,水库路与昌崔路交汇处向北1公里路东,,,3室,95,44000,418,95.0,中户型
35,52,新光大中心,通州,北关,滨惠北一街1号院2号楼,,,1室,97,49800,483,96.98795180722891,中户型
41,12,运河铭著,通州,北关,商通大道与榆东一街交叉口，温榆河森林公园东500米,,,2室,100,46000,460,100.0,中户型
13,28,绿地海珀云翡,大兴,大兴其它,兴亦路京开高速东侧（黄村镇第一中心小学对面）,,,2室,102,70000,714,102.0,中户型
30,63,东方蓝海中心,昌平,北七家,未来科学城东路与英才南二街交汇处,,,4室,104,52000,540,103.84615384615384,中户型
22,46,未来公元,昌平,北七家,京承高速北七家出口800米路南,,,3室,104,60800,632,103.94736842105263,中户型
54,32,尚峯壹號,顺义,顺义其它,中央别墅北区京承高速11号出口, 天承环路8号院,,0室,107,36000,385,106.94444444444444,中户型
63,49,奥园北京源墅,密云,密云其它,密关路与313省道交汇处,,,3室,110,21000,231,110.0,中户型
12,47,通州万国城MOMA,通州,乔庄,果园环岛以东，运河西大街与玉桥西路交汇处,,,3室,112,71000,795,111.97183098591549,中户型
26,0,中粮京西祥云,房山,长阳,地铁稻田站北800米，西邻京深路,,,4室,115,58000,667,115.0,中户型
50,54,珠光御景西园,丰台,丰台其它,长辛店长云路2号,,,3室,117,38600,451,116.83937823834196,中户型
18,7,中骏西山天璟,门头沟,城子,西山永定楼北300米,,,4室,117,65000,760,116.92307692307692,中户型
27,22,西山甲一号,丰台,丰台其它,长辛店生态城园博园南路路北500米,,,3室,118,57000,672,117.89473684210526,中户型
51,31,天恒京西悦府,房山,阎村,燕房线阎村地铁站东南角约189米,,,3室,119,38000,452,118.94736842105263,中户型
62,36,奥园北京源墅,密云,密云其它,溪翁庄镇,,,3室,120,24000,288,120.0,中户型
32,2,天恒水岸壹号,房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁,,,3室,122,52000,634,121.92307692307692,中户型
42,8,领秀翡翠墅,丰台,丰台其它,王佐镇长青路南侧, 长青路88号院,,3室,137,45000,616,136.88888888888889,中户型
17,25,西山燕庐,门头沟,门头沟其它,长安街延线南约500米,,,3室,137,65000,890,136.92307692307693,中户型
36,13,万年广阳郡九号,房山,长阳,长阳清苑南街与汇商东路交汇处西北角,,,3室,139,48500,674,138.96907216494844,中户型
58,3,天恒摩墅,房山,房山其它,周口店镇政府东200米,,,3室,140,29555,413,139.73946878700727,中户型
21,51,中骏西山天璟,门头沟,城子,永定楼北300米,,,4室,140,63000,882,140.0,中户型
39,9,富力首开·金禧璞瑅,顺义,顺义其它,高泗路四村段23号,,,4室,140,47000,658,140.0,中户型
0,27,首开国风尚樾,朝阳,望京,望京南湖南路三帆中学对面,,,3室,146,120000,1752,146.0,大户型
23,14,华远裘马四季,门头沟,大峪,增产路16号院,,,3室,150,60000,900,150.0,大户型
25,62,中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),,,3室,150,58000,870,150.0,大户型
28,60,中铁华侨城和园,大兴,瀛海,南五环南海子公园西侧约500米,,,3室,154,55000,847,154.0,大户型
60,35,K2十里春风,通州,通州其它,永乐店镇漷小路百菜玛工业园对面,,,3室,155,28000,434,155.0,大户型
57,11,观唐云鼎,密云,密云其它,溪翁庄镇密溪路39号院（云佛山度假村对面）,,,3室,171,30000,513,171.0,大户型
6,24,首创天阅西山,海淀,海淀北部新区,永丰路与北清路交汇处东北角，中关村壹号北,,,3室,175,80000,1400,175.0,大户型
3,40,天润福熙大道,朝阳,北苑,清河营东路1号院, 清河营东路3号院,,3室,180,90000,1620,180.0,大户型
19,23,电建金地华宸,门头沟,门头沟其它,长安街西延线南侧约500米,,,3室,180,64000,1152,180.0,大户型
24,10,天恒水岸壹号,房山,良乡,良乡大学城西站地铁南侧400米，刺猬河旁,,,3室,185,58000,1073,185.0,大户型
10,29,中冶德贤公馆,大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）,,,3室,186,77000,1432,185.97402597402598,大户型
31,30,燕西华府,丰台,丰台其它,王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）,3室,195,52000,1014,195.0,大户型
47,20,檀香府,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,,,3室,208,43000,894,207.90697674418604,大户型
43,37,北京城建北京合院,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),,,4室,210,45000,945,210.0,大户型
44,59,金隅上城郡,昌平,北七家,北亚花园东路50米,,,3室,212,45000,954,212.0,大户型
14,15,V7九间堂,通州,潞苑,通燕高速耿庄桥北出口中化石油对面,,,4室,220,68000,1496,220.0,大户型
53,4,兴创荣墅,大兴,大兴新机场洋房别墅区,采育镇育胜街与福源路交叉口西侧350米路南,,,3室,240,37500,900,240.0,大户型
16,48,领秀翡翠墅,丰台,丰台其它,王佐镇长青路南侧, 长青路88号院,,4室,270,65000,1755,270.0,大户型
4,61,中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),,,4室,280,82000,2296,280.0,大户型
55,43,凯德麓语,昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧,,,3室,280,35000,980,280.0,大户型
9,38,国锐金嵿,亦庄开发区,亦庄,荣华南路1号院,,,4室,285,78000,2223,285.0,大户型
37,21,观山源墅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,,,3室,290,47500,1377,289.89473684210526,大户型
7,55,和光尘樾,朝阳,东坝,东五环七棵树桥出口向东1.5千米,,,4室,290,79800,2314,289.9749373433584,大户型
29,17,华远和墅,大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里,,,5室,295,54000,1593,295.0,大户型
49,16,御汤山熙园,昌平,昌平其它,紧邻安泗路，距离北六环61号出口约2000米,,,4室,300,40000,1200,300.0,大户型
33,26,北科建泰禾丽春湖院子,昌平,沙河,中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）,,,4室,379,50000,1895,379.0,大户型
