area,evenPrice,location,name,totalPrice,type
建面 115-140㎡,58000,"房山,长阳,地铁稻田站北800米，西邻京深路",中粮京西祥云,,4室
建面 60-288㎡,49800,"丰台,丰台其它,王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",燕西华府,,4室
建面 122-148㎡,52000,"房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁",天恒水岸壹号,,3室
建面 140-160㎡,29555,"房山,房山其它,周口店镇政府东200米",天恒摩墅,,3室
建面 240-411㎡,37500,"大兴,大兴新机场洋房别墅区,采育镇育胜街与福源路交叉口西侧350米路南",兴创荣墅,,3室
建面 94-150㎡,47500,"房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）",观山源墅,,3室
建面 540-1600㎡,100000,"朝阳,北苑,北京市朝阳区北五环顾家庄桥向北约2.6公里",润泽御府,,4室
建面 117-155㎡,65000,"门头沟,城子,西山永定楼北300米",中骏西山天璟,,4室
建面 137-187㎡,45000,"丰台,丰台其它,王佐镇长青路南侧, 长青路88号院",领秀翡翠墅,,3室
建面 140-192㎡,47000,"顺义,顺义其它,高泗路四村段23号",富力首开·金禧璞瑅,,4室
建面 185-199㎡,58000,"房山,良乡,良乡大学城西站地铁南侧400米，刺猬河旁",天恒水岸壹号,,3室
建面 171㎡,30000,"密云,密云其它,溪翁庄镇密溪路39号院（云佛山度假村对面）",观唐云鼎,,3室
建面 100-140㎡,46000,"通州,北关,商通大道与榆东一街交叉口，温榆河森林公园东500米",运河铭著,,2室
建面 139-189㎡,48500,"房山,长阳,长阳清苑南街与汇商东路交汇处西北角",万年广阳郡九号,,3室
建面 150-191㎡,60000,"门头沟,大峪,增产路16号院",华远裘马四季,,3室
建面 220-420㎡,68000,"通州,潞苑,通燕高速耿庄桥北出口中化石油对面",V7九间堂,,4室
建面 300-470㎡,40000,"昌平,昌平其它,紧邻安泗路，距离北六环61号出口约2000米",御汤山熙园,,4室
建面 295㎡,54000,"大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里",华远和墅,,5室
建面 94-293㎡,41000,"房山,长阳,房山区CSD政务大厅5号门",天资华府,,2室
建面 95-170㎡,44000,"昌平,东关,水库路与昌崔路交汇处向北1公里路东",北京怡园,,3室
建面 208-320㎡,43000,"门头沟,门头沟其它,京潭大街与潭柘十街交叉口",檀香府,,3室
建面 290-437㎡,47500,"房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）",观山源墅,,3室
建面 118-183㎡,57000,"丰台,丰台其它,长辛店生态城园博园南路路北500米",西山甲一号,,3室
建面 180-247㎡,64000,"门头沟,门头沟其它,长安街西延线南侧约500米",电建金地华宸,,3室
建面 175-245㎡,80000,"海淀,海淀北部新区,永丰路与北清路交汇处东北角，中关村壹号北",首创天阅西山,,3室
建面 137-196㎡,65000,"门头沟,门头沟其它,长安街延线南约500米",西山燕庐,,3室
建面 379-800㎡,50000,"昌平,沙河,中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）",北科建泰禾丽春湖院子,,4室
建面 146-210㎡,120000,"朝阳,望京,望京南湖南路三帆中学对面",首开国风尚樾,,3室
建面 102-178㎡,70000,"大兴,大兴其它,兴亦路京开高速东侧（黄村镇第一中心小学对面）",绿地海珀云翡,,2室
建面 186-215㎡,77000,"大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）",中冶德贤公馆,,3室
建面 195-851㎡,52000,"丰台,丰台其它,王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",燕西华府,,3室
建面 119-135㎡,38000,"房山,阎村,燕房线阎村地铁站东南角约189米",天恒京西悦府,,3室
建面 107-360㎡,36000,"顺义,顺义其它,中央别墅北区京承高速11号出口, 天承环路8号院",尚峯壹號,,0室
建面 77-114㎡,65000,"通州,武夷花园,滨河中路和新华大街交汇处西南角，往南200米",合景寰汇公馆,,2室
建面 74-89㎡,24500,"通州,通州其它,永乐店镇漷小路百菜玛工业园对面",K2十里春风,,2室
建面 155㎡,28000,"通州,通州其它,永乐店镇漷小路百菜玛工业园对面",K2十里春风,,3室
建面 120-268㎡,24000,"密云,密云其它,溪翁庄镇",奥园北京源墅,,3室
建面 210-330㎡,45000,"顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南)",北京城建北京合院,,4室
建面 285㎡,78000,"亦庄开发区,亦庄,荣华南路1号院",国锐金嵿,,4室
建面 90-207㎡,38000,"通州,通州其它,宋庄镇荷香街2号院",首开香溪郡,,3室
建面 180-374㎡,90000,"朝阳,北苑,清河营东路1号院, 清河营东路3号院",天润福熙大道,,3室
建面 62-146㎡,82000,"丰台,宋家庄,东南三环东铁营桥向南600米",元熙华府,,2室
建面 92-126㎡,63000,"通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）",京贸国际公馆,,2室
建面 280-863㎡,35000,"昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧",凯德麓语,,3室
建面 88-135㎡,43000,"昌平,东关,内环西路招商都会中心",招商都会湾,,3室
建面 69-140㎡,72000,"通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）",京贸国际城·峰景,,1室
建面 104-169㎡,60800,"昌平,北七家,京承高速北七家出口800米路南",未来公元,,3室
建面 112-177㎡,71000,"通州,乔庄,果园环岛以东，运河西大街与玉桥西路交汇处",通州万国城MOMA,,3室
建面 270-335㎡,65000,"丰台,丰台其它,王佐镇长青路南侧, 长青路88号院",领秀翡翠墅,,4室
建面 110㎡,21000,"密云,密云其它,密关路与313省道交汇处",奥园北京源墅,,3室
建面 95-130㎡,47000,"顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南)",北京城建北京合院,,3室
建面 140-220㎡,63000,"门头沟,城子,永定楼北300米",中骏西山天璟,,4室
建面 97-179㎡,49800,"通州,北关,滨惠北一街1号院2号楼",新光大中心,,1室
建面 89-96㎡,29000,"通州,通州其它,京津高速与张采路交叉口，京津高速于家务出口即到",首开缇香郡,,3室
建面 117-156㎡,38600,"丰台,丰台其它,长辛店长云路2号",珠光御景西园,,3室
建面 290㎡,79800,"朝阳,东坝,东五环七棵树桥出口向东1.5千米",和光尘樾,,4室
建面 84-137㎡,79500,"朝阳,成寿寺,肖村东路1号院",首开住总熙悦安郡,,3室
建面 1118-1120㎡,33000,"门头沟,门头沟其它,长安街西延线与滨河路南延交汇处（东南侧）",远洋新天地,,1室
建面 67-139㎡,112000,"朝阳,惠新西街,北三环以北，惠新东街与北土城东路交汇处西行200米路北",北京书院,,1室
建面 212-403㎡,45000,"昌平,北七家,北亚花园东路50米",金隅上城郡,,3室
建面 154-184㎡,55000,"大兴,瀛海,南五环南海子公园西侧约500米",中铁华侨城和园,,3室
建面 280-380㎡,82000,"大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧)",中海北京世家,,4室
建面 150-380㎡,58000,"大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧)",中海北京世家,,3室
建面 104-136㎡,52000,"昌平,北七家,未来科学城东路与英才南二街交汇处",东方蓝海中心,,4室
